,0,1,2,3,4,5,6,7
0,-3.2424495310934276e-09,-4.440827117146995e-08,-3.448049580058454e-08,-1.9785815208450686e-08,-6.0349034103346355e-09,-7.060375950551645e-09,-7.101347740401387e-08,-8.278177010545562e-08
1,-5.500270239267024e-09,-1.3295314849059992e-09,-1.097125967852719e-08,-1.504422614262424e-09,-5.237844602490327e-10,-3.8326274376387914e-09,-1.1490960794002802e-08,-1.5818998500005677e-08
2,-1.158305062975984e-09,-3.673198480103057e-08,-2.76661626941177e-09,-2.3725930942131157e-09,-3.2535780999931596e-08,-9.049826998897004e-09,-1.511442970780763e-09,-7.308463972899304e-10
3,-7.778980293249305e-09,-1.810035787919162e-09,-2.091591838615514e-08,-2.5055242491855978e-08,-6.177812102159397e-09,-1.4129476200164248e-08,-9.094968778100565e-09,-3.9359959180806925e-09
4,-6.9868196991840215e-09,-1.6484169085284606e-08,-2.1859988597050517e-08,-7.043157834729641e-09,-6.964191799629926e-09,-4.6178492196791154e-08,-1.5931146291059406e-08,-7.3483149565234385e-09
5,-1.8326855810713027e-08,-3.5053211999702683e-09,-4.1035619346985186e-11,-2.605009791212254e-09,-3.843757978572171e-09,-8.463551914861256e-09,-2.8861529832724386e-10,-5.978368916581545e-08
6,-2.1771948077731196e-08,-3.105930490576725e-08,-3.01595881602168e-09,-3.1476727890833445e-09,-5.561998306369276e-09,-8.093449244128692e-10,-1.1938940419620181e-08,-2.5977323070414116e-09
7,-2.492309780777191e-08,-5.136617298173718e-09,-5.608801197792834e-09,-3.1467103700499877e-08,-1.7693379705807644e-08,-2.2880863870256007e-09,-2.831025414096189e-10,-7.571335436384885e-08
8,-5.586031415205639e-09,-7.196684009835863e-08,-1.2272788341149976e-09,-2.4089104100344372e-08,-6.80991868451386e-09,-1.144131811514626e-08,-3.7316687712118934e-08,-7.415338787453152e-09
9,-5.964437402306011e-09,-1.1986354714332847e-08,-5.10219980154325e-09,-6.143885955545159e-10,-3.2327142629462458e-09,-7.220648939876284e-10,-1.1460889494385729e-08,-2.759870110224938e-10
10,-5.158407256899977e-09,-3.4824688799339754e-08,-9.666390743401365e-10,-6.694723331257535e-09,-1.5727733393422483e-08,-2.0010508805512472e-09,-2.5425861971406505e-09,-6.754222792171305e-09
11,-5.6380691226820545e-09,-7.247831060319676e-08,-3.993902097931823e-08,-3.810989003538712e-09,-1.9821752017534777e-09,-3.047834200298194e-09,-4.734252434523967e-09,-3.0797856043207616e-08
12,-1.3460138559295842e-09,-1.1252869769329266e-07,-7.063350793146128e-09,-4.812687914856895e-09,-1.8196901097056184e-08,-6.697530863242207e-10,-4.28837498844814e-09,-3.8023578730062013e-10
13,-1.0016613927188445e-09,-8.595456457705097e-09,-1.7278811600268673e-08,-2.204330220578754e-07,-1.4442310236617573e-08,-4.1474212952863354e-10,-3.7241419115208174e-09,-4.886237942036686e-10
14,-2.6849003686990613e-08,-4.773477541020199e-08,-2.109861496624177e-08,-1.3394501729990793e-08,-9.374614001744774e-10,-1.0049055587657563e-08,-6.612069301803469e-09,-5.960367199797645e-10
15,-1.609175520611572e-08,-1.737475996410609e-08,-6.4081955297723425e-09,-1.505054930683869e-08,-1.2981876906792422e-08,-1.571152891122196e-08,-1.2887807376849025e-08,-9.19048814829182e-09
16,-9.193333205814724e-09,-5.994388010965856e-08,-1.529708582026501e-08,-1.5983282475318106e-09,-3.0870866418730714e-09,-1.590287571073823e-08,-1.051019704600975e-08,-2.251681285869722e-09
17,-9.33196775410039e-09,-1.2421964984410394e-09,-9.366054681825275e-09,-3.3242009145340035e-10,-5.488264953612543e-09,-3.198559306305526e-09,-7.767861909258045e-10,-3.329411929486881e-08
18,-1.1098810037690754e-08,-1.6850516981747887e-08,-4.9669424684317676e-09,-5.951917569912979e-09,-1.1911820807508633e-08,-1.3951559574287842e-08,-1.4662740001336605e-08,-1.7137588015359029e-09
19,-1.0514490195179249e-08,-3.762016476116514e-08,-1.0171251396684511e-08,-3.3670089050197305e-08,-2.9587367889050142e-08,-7.605135632360316e-09,-1.8316498484605148e-08,-4.3917358638623227e-10
20,-1.58649230974639e-08,-2.816704380848023e-08,-2.368582219247628e-09,-1.2431837781434751e-09,-2.7910651567708555e-09,-3.778495398509829e-09,-7.64060453795068e-09,-3.583779928373332e-08
21,-2.356675318782031e-08,-4.1863121247320834e-08,-3.806854304011509e-09,-4.4367178375637195e-08,-1.0686698914685877e-08,-1.2698329610039139e-08,-7.85613910037064e-09,-5.266870994891093e-09
22,-1.0106165071466222e-09,-8.478336921413643e-10,-6.052434914360916e-09,-1.5136353420652782e-08,-1.7141567054679285e-09,-1.232184132504699e-09,-3.9435149590261176e-10,-1.1572764635481292e-08
23,-7.639945787119018e-09,-4.8528699725380875e-08,-1.3055290626340366e-08,-1.8024581549536123e-08,-2.6427209975921073e-08,-1.524628451265997e-08,-1.5312387913191117e-08,-2.0416343060603026e-09
24,-5.530750635251991e-09,-3.7980714351348865e-08,-1.486709877429604e-08,-8.590042011036303e-09,-2.4139099830122746e-08,-2.629733875103568e-09,-1.492627321741935e-08,-3.090202971289813e-08
25,-1.741094646234842e-08,-1.3483787600354624e-08,-1.2427288309524442e-08,-2.1325258559024007e-08,-1.7101966398591628e-08,-4.053368252154854e-08,-1.8950647939774967e-08,-7.208796115598659e-09
26,-7.694693771043148e-10,-1.7253514172921314e-09,-2.738228643828222e-09,-1.2333176369061505e-08,-3.750382226996862e-09,-2.1611643585828233e-09,-2.7234787897123525e-09,-1.4916436974488079e-09
