Subject,median_pupil_size_1,median_pupil_size_3,max_pupil_contraction_rate_2,median_pupil_contraction_rate_4,median_pupil_contraction_rate_8,median_pupil_dilation_rate_4,median_pupil_dilation_rate_8
1,0.1652085530959615,0.2322702506385614,-4.4408271171469955e-08,-0.0006994354755758,-0.0009202662646605,0.0008942304167947,0.0011638422357282
2,0.0577520837885864,0.0664950487673506,-1.3295314849059992e-09,-0.0005892979419333,-0.0005518588383844,0.0007872553870437,0.0007972914121561
3,0.1932616158233331,0.2491721126231709,-3.673198480103057e-08,-0.0006382673807458,-0.0007586789552565,0.000798724497824,0.0007866113374075
4,0.2810805301071752,0.2473441843441947,-1.810035787919162e-09,-0.0005876612184262,-0.000383556345189,0.0008333940161849,0.000778448499604
5,0.0237852532591558,0.0201476732437045,-1.6484169085284606e-08,-0.0004076134599882,-0.0004504111419111,0.0008285609640317,0.0009164020976693
6,0.077447264364351,0.1773771485121968,-3.5053211999702683e-09,-0.0004165123456045,-0.0005266713268112,0.0006532112393752,0.000759939407009
7,0.1260481419036013,0.1008720829780025,-3.1059304905767255e-08,-0.0005901377131491,-0.0005051295163385,0.0008160771206188,0.0008772408111569
8,0.2250283543157578,0.250599053158687,-5.136617298173718e-09,-0.0008386942823616,-0.0004464765115067,0.0009867570829293,0.0006751715414587
9,0.1376347775897391,0.1595186865001729,-7.196684009835863e-08,-0.0006656445879409,-0.0004083844362722,0.000768213504799,0.0007769197116337
10,0.2543571926641018,0.2787549498583856,-1.1986354714332847e-08,-0.0008404463375197,-0.0010085719840893,0.0009220743774689,0.0010794069903087
11,0.216812058990406,0.1460612469064458,-3.4824688799339754e-08,-0.000494518635569,-0.0003606378409701,0.0008105254309175,0.0006155942101073
12,0.216785947840262,0.28623293486514,-7.247831060319676e-08,-0.0005951252568071,-0.0008572043820525,0.0009983121045867,0.0009302223679559
13,0.1453835484573998,0.2303946428920191,-1.1252869769329267e-07,-0.0006371241490577,-0.0006977151599924,0.0007532505627079,0.0007381326133118
14,0.2347027331479804,0.2623681058773143,-8.595456457705097e-09,-0.0010037347609943,-0.0006426792138967,0.0008192135321342,0.0008065566451972
15,0.2438025080546543,0.234352886700854,-4.7734775410202e-08,-0.0008299273725785,-0.0005447664344579,0.0008758070495132,0.0008843946309051
16,0.249703356872958,0.1814773840043039,-1.737475996410609e-08,-0.000678978669782,-0.0007651956412202,0.0007507641564278,0.000878518995071
17,0.1407122763954459,0.0798418057517628,-5.994388010965856e-08,-0.0008987666650107,-0.0005972231961085,0.0014460466100158,0.0006356872501639
18,0.1326456723634954,0.2746261541772244,-1.2421964984410392e-09,-0.0006228755706047,-0.000509896210267,0.0009178810136065,0.0008136233277254
19,0.1877980055244129,0.2091857605849146,-1.6850516981747887e-08,-0.0005548216781405,-0.0007762017493154,0.0007718455986225,0.0007666721463059
